Index	Term	Definition	JSON Source	Notes	RAVE Identifier / JSON Field
0	Sample	Sample ID	All	Anonymized sample identifier	
1	Birth_Date	"Patient date of birth, in days before study enrollment"	COG	Negative integer	DM_BRTHDAT
2	Ethnicity	Patient ethnicity	COG	Hispanic/Non-Hispanic/Unknown	DM_ETHNIC
3	Sex	Patient biological sex	COG		DM_SEX
4	Country_of_Residence	Patient country of residence	COG		SC_SCORRES_CNTRYRES
5	Race	Patient racial background	COG		DM_CRACE
6	Diagnosis_ID	Initial patient diagnosis ID code	COG	Ex. 3.0	ADM_DX_CD_SEQ
7	Enrolled_Dx	Is the diagnosis ID the diagnosis for which the patient is being enrolled?	COG	Yes/No	PRM_TU_DX_TXT
8	Date_of_Diagnosis	"Patient date of of diagnosis, in days before enrollment"	COG	Negative integer	DX_DT
9	Primary_Site_Code	Code for site of primary disease	COG	Ex. C72.0	TOPO_ICDO
10	Primary_Site_Term	Text describing site of primary disease	COG	"Ex. ""Spinal cord"""	TOPO_TEXT
11	Initial_Dx_Code	Code for initial diagnosis	COG	Ex. 9836/3	MORPHO_ICDO
12	Initial_Dx_Term	Text describing initial diagnosis	COG	ex. Precursor B-cell lymphoblastic leukemia Pro-B ALL Common pre	MORPHO_TEXT
13	Registry_Stage_Code	Code describing stage of in registry	COG	"local, distant, unknown, not answered"	REG_STAGE_CODE_TEXT
14	Date_of_Death	"Patient date of death, in days since enrollment"	COG		DEATH_DOC_DATE
15	Dx_Morpho_Code	Diagnosis morphology code	COG	"ex. 9560-0 Neurilemoma, NOS"	PRM_CA_DX_ICD_O_CD
16	Primary_Dx_Disease_Group	Text label for disease group of primary diagnosis	COG	ex. Central Nervous System	PRIMDXDSCAT
17	Enrolled_on_Prev_COG_Study	Was patient enrolled on a previous COG study?	COG	Yes/No	PT_OTH_ENROLLM_IND_2
18	Tumor_Grade	Grade of patient's tumor	COG	Roman numeral I - IV or unknown	TUMOR_GP_ST
19	Tumor_M_Stage	M-stage of patient's tumor	COG	"ex. M3, or unknown"	CNSTMRMSTG
20	Cerebrospinal_Fluid_Status	Current presence of somatic disease in patient's CSF	COG	positive/negative/unknown/NA	CSFCYTLGY
21	Spine_at_diagnosis	Presence in CSF at time of diagnosis	COG	positive/negative/unknown/NA	CNSSPNDXSTATUS
22	Had_Surgical_Resection	Did patient have a biopsy or surgical resection? What was the extent?	COG	" Text description or Other. If other, text description of extent of resection. Semicolon-separated list from 3 merged fields."	SURGBXRCTPFM;TUM_RES_EXT_TP;OTX_SURG_RESECT_TXT
23	Residual_Tumor	Size of remaining residual tumor	COG	Centimeters	RESI_MALI_POST_SURG_MEAS
24	Has_Molecular_Reports	Patient has reports on molecular analyses	COG	Yes/No	MCRPTRCVD
25	Trial_Enrolled_Using_Results	Patient enrolled on a clinical trial based on molecular results	COG		PTNTENRLSEQELIGTREATASGNIND
